0xff814de8,_GetSystemTime
0xffaef144,_log
0xffaef7ec,_log10
0xffaefcdc,_pow
0xffaf4028,_sqrt
0xffab3d60,AbortAEIntegralValue_FW
0xff822594,AcquireRecursiveLock
0xffab2acc,ActivateAdjLog_FW
0xff8ca460,ActivateImager_FW
0xff950924,ActivateImageSystem_FW
0xffab0e44,AddAdjDataToFRom_FW
0xff9737ec,AddItemToDialogBox_FW
0xffabf738,AddTransparentMemory_FW
0xffabbed4,AfAEWithAperturePriority_FW
0xffabc084,AfAEWithCompensation_FW
0xff82d8dc,AFAssistBeam_FW
0xff951208,AFDistanceChanged_FW
0xff9511ac,AFFrameMoved_FW
0xff81aa2c,AllocateMemory
0xff81aa2c,AllocateMemory_FW
0xff814bb0,AllocateUncacheableMemory
0xff9517ec,AllSettingReseted_FW
0xff8aef88,apex2us
0xffabf780,AttachToTransparentMemory_FW
0xff82c640,Bat_Calc_FW
0xffabd654,Bat_Save_FW
0xffabd640,Bat_VIN_FW
0xff82b1d8,BatVoltageToAd_FW
0xff82e32c,BeepDrive_FW
0xff82e340,BeepDriveComp_FW
0xff82e354,BeepTest_FW
0xffab74cc,CalcLog10_FW
0xff82c640,CalculateBatSenseOffset_FW
0xffab7474,CalculateLog2ToApex_FW
0xffaba598,CalculatePeakPositionByLeastSquare_FW
0xffab74a8,CalculatePow2FromApex_FW
0xff98fce8,cameracon_set_state
0xffabbe28,CancelAdj_AEMode_FW
0xffab5ee8,CancelAdjCdsMode_FW
0xffaac508,CancelFocusLensMaxSpeedLimit_FW
0xff815cac,CancelHPTimer
0xff8ca780,CancelImager_FW
0xff815050,CancelTimer
0xff8a2374,Capture.Create_FW
0xff8a2408,Capture.Delete_FW
0xff950e48,CaptureModeChange_FW
0xff8c812c,CdsDrv.Create_FW
0xff8c8164,CdsDrv.Delete_FW
0xff8c7ea0,CdsDrv.GetCdsGainForAdjustment_FW
0xff8c7f08,CdsDrv.GetCdsOBForAdjustment_FW
0xff8c7f64,CdsDrv.GetCdsRegisterImage_FW
0xff8c7f4c,CdsDrv.PowerMode_FW
0xff8c7f3c,CdsDrv.ReloadCdsTable_FW
0xff8c7e34,CdsDrv.SetCdsAdjustmentMode_FW
0xff8c7e54,CdsDrv.SetCdsGainApexForAdjustment_FW
0xff8c7e64,CdsDrv.SetCdsGainForAdjustment_FW
0xff8c7e44,CdsDrv.SetCdsNormalMode_FW
0xff8c7ed0,CdsDrv.SetCdsOBForAdjustment_FW
0xff8c7f7c,CdsDrv.SetCdsRegisterImage_FW
0xff8ca83c,ChangeImagerToAlternateDraft_FW
0xff8ca86c,ChangeImagerToFocusJet_FW
0xff8ca84c,ChangeImagerToJetDraft_FW
0xff8ca87c,ChangeImagerToJumboDraft_FW
0xff8ca82c,ChangeImagerToNarrowDraft_FW
0xff8ca88c,ChangeImagerToOITA_XAVIER_FW
0xff8ca85c,ChangeImagerToPetitNarrow_FW
0xff8ca8ac,ChangeImagerToQVGA15Fps_FW
0xff8ca89c,ChangeImagerToQVGA20Fps_FW
0xff8ca8dc,ChangeImagerToSmearCorrectAlternate_FW
0xff8ca8cc,ChangeImagerToSmearCorrectSuper_FW
0xff8ca8bc,ChangeImagerToSmearCorrectWide_FW
0xff8ca80c,ChangeImagerToSuperWideDraft_FW
0xff8ca7e0,ChangeImagerToWholeParallel_FW
0xff8ca7fc,ChangeImagerToWholeParallelHalf_FW
0xff8ca7b0,ChangeImagerToWholeSerial_FW
0xff8ca7c8,ChangeImagerToWholeSerialLineDef_FW
0xff8ca81c,ChangeImagerToWideDraft_FW
0xff950d08,ChangeZoomSpeed_FW
0xffabb694,ChargeStrobe_FW
0xff81f974,CheckAllEventFlag
0xff81f964,CheckAnyEventFlag
0xffaac714,CheckFocusLensAfAging_FW
0xff81a5f4,CheckSumAll_FW
0xff81fd74,ClearEventFlag
0xffaafba4,ClearFactoryMode_FW
0xffaac674,ClearFocusLensBacklashSpeedToMax_FW
0xffaa42bc,ClearMechaShutterCount_FW
0xffa9d08c,ClearPM3ByFs_FW
0xffa9d07c,ClearPM3ByGpio_FW
0xff870568,Close
0xffb02bc4,close
0xff870568,Close_FW
0xff81b908,CloseConsole_FW
0xffafeb64,closedir
0xffaa419c,CloseMechaShutterEvent_FW
0xffab69ac,CloseMShutter_FW
0xff9516b4,ColorModeChanged_FW
0xffac2760,CompletePrepareTestRec_FW
